	x
968	YOR067C
969	YOR188W
970	YJL111W
971	YGR164W
972	YJL133W
973	YNL001W
974	YER122C
975	YNL222W
976	YPL124W
977	YGL008C
978	YLR132C
979	YOR232W
980	YOR239W
981	YBR233W-A
982	YMR193C-A
983	YBR133C
984	YPL146C
985	YNL031C
986	YPL038W
987	YBR206W
988	YOR119C
989	YIL138C
990	YJR074W
991	YOR314W
992	YAL042C-A
993	YBR130C
994	YKL068W
995	YJR101W
996	YOR304C-A
997	YPL103C
998	YPR136C
999	YPR052C
1000	YDR370C
1001	YIL040W
1002	YML009W-B
1003	YFR056C
1004	YJR054W
1005	YJL194W
1006	YDR157W
1007	YDR522C
1008	YER087C-B
1009	YDR121W
1010	YCL058C
1011	YLL035W
1012	YLL014W
1013	YGL226C-A
1014	YBL111C
1015	YMR209C
1016	YIL096C
1017	YLR154C
1018	YCL066W
1019	YCR040W
1020	YNL211C
1021	YMR141W-A
1022	YBR070C
1023	YLR103C
1024	YMR123W
1025	YMR042W
1026	YIR043C
1027	YIL082W-A
1028	YOR200W
1029	YOR180C
1030	YLR358C
1031	YDL012C
1032	YNL138W-A
1033	YHR014W
1034	YLR036C
1035	YGL042C
1036	YBR300C
1037	YLR287C-A
1038	YKL037W
1039	YHR022C
1040	YDR344C
1041	YAR030C
1042	YOR218C
1043	YHR173C
1044	YDR523C
1045	YJL195C
1046	YJL119C
1047	YOR242C
1048	YJL160C
1049	YMR244W
1050	YNL057W
1051	YHR015W
1052	YGR294W
1053	YBR012C
1054	YOR072W
1055	YPL201C
1056	YOR146W
1057	YER044C-A
1058	YMR001C-A
1059	YIL025C
1060	YDL096C
1061	YFR032C
1062	YMR122C
1063	YGL194C-A
1064	YKL118W
1065	YOL079W
1066	YPL044C
1067	YNL120C
1068	YGL263W
1069	YGL230C
1070	YDR042C
1071	YGR039W
1072	YOR366W
1073	YFL012W
1074	YPL200W
1075	YHR217C
